Phoneme,IPA,Examples,Pronunciation
b,b,BAD; LAB,"bæd, læb"
d,d,DID; LADY,"dihd, lay·dee"
f,f,FIND; IF,"fiynd, ihf"
g,g,GIVE; FLAG,"gihv, flag"
h,h,HOW; HELLO,"how, heh·loh"
j,dʒ,JUST; LARGE,"juhst, lahj"
k,k,CAT; BACK,"kæt, bæk"
l,l,LEG; LITTLE,"lehg, lihd·@l"
m,m,MAN; LEMON,"man, leh·m@n"
n,n,NO; TEN,"noh, tehn"
£,ŋ,SING; FINGER,"sih£, fih£·g@"
p,p,PET; MAP,"peht, mæp"
r,ɹ,RED; TRY,"rehd, ¢riy"
s,s,SUN; MISS,"suhn, mihs"
$,ʃ,SHE; CRASH,"$ee, kræ$"
t,t,TEA; GETTING,"tee, gehd·ih£"
¢,tʃ,CHECK; CHURCH,"¢ehk, ¢œ¢"
+,θ,THINK; BOTH,"+i£k, boh+"
‡,ð,THIS; MOTHER,"‡his, muh‡·@"
v,v,VOICE; FIVE,"vois, fiyv"
w,w,WET; WINDOW,"weht, wihn·doh"
y,j,YES; YELLOW,"yehs, yehl·oh"
z,z,ZOO; LAZY,"zew, lay·zee"
§,ʒ,PLEASURE; VISION,"pleh§·@, vih§·@n"
